[2018-06-14 12:43:11,577] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,586] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,604] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,651] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,661] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,703] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,714] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,731] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,751] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,763] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,788] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,810] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,819] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,854] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,864] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,883] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,895] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,909] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,947] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:11,966] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,002] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,017] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,070] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,082] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:12,090] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001766的物料等级或者使用期限为空， Level=, USER_DATE=
